가게명,카테고리,주소,위도,경도,제휴대상,혜택,시작일,종료일
머슬톡 휘트니스,기타,서울특별시 노원구 광운로 52 2층,37.62184,127.0597474,"전자정보공과대학, 정책법학대학","[전자정보공과대학] 요금제; 서비스: 3개월 140,000원 OT 2회; 6개월 270,000원 OT 4회; 12개월 400,000원 OT 6회; 대상 조건: 전자정보공과대 학생
[정책법학대학] 할인: 10,000원 추가 할인",2026-02-14,2026-12-31
미식성,식사류,서울특별시 노원구 광운로 9 1층,37.6185657,127.0574255,"전자정보공과대학, 정책법학대학, 광운대학교","[전자정보공과대학] 혜택 분류: 할인; 결제 조건: 현금; 대상 조건: 전자정보공과대 학생 1명 이상; 비고: 현금 결제 시 N만원당 N천원 할인
[정책법학대학] 할인: 10,000원 당 1,000원 할인. 최대5000원.; 이용 조건: 현금결제
[광운대학교] 20,000원 초과 주문 + 현금/계좌이체 결제 시 총액의 만원 단위 부분 한정 10% 할인; 5만원 이상 주문 관련 추가 혜택 존재하나 상세 일부 미상",2026-01-01,2026-12-31
민들레뜨락2,식사류,서울특별시 노원구 광운로 33 3층,37.620548,127.058599,"전자정보공과대학, 정책법학대학, 광운대학교","[전자정보공과대학] 5% 할인; 결제 조건: 현금 또는 계좌이체; 대상 조건: 전자정보공과대 학생 1명 이상
[정책법학대학] 할인: 3,000원 할인 쿠폰 제공; 이용 조건: 80,000원 이상 주문 후 계좌 이체 시
[광운대학교] 현금 또는 계좌이체 시 5% 할인 쿠폰 제공",2026-02-14,2026-12-31
별난주점 광운대점,주점,서울특별시 노원구 광운로12길 28 준파크빌 2차,37.6212906,127.0604065,"정책법학대학, 광운대학교","[정책법학대학] 할인: 3%할인; 이용 조건: 세트 구매 및 계좌이체
[정책법학대학] 서비스 제공: 별난감자 제공; 이용 조건: 매장 10회 이상 방문시
[광운대학교] 하성 Set Menu 5% 할인 적용",2026-02-20,2026-12-31
보드게임 아카이브,기타,서울특별시 노원구 화랑로 335 지하1층,37.615081,127.0650163,정책법학대학,[정책법학대학] 할인: 평일:종일권 및 음료 8000원 종일권 주말 7000원; 이용 조건: 영수증 리뷰시,,
부리또잇,식사류,서울특별시 노원구 광운로 37 1층,37.6196349,127.0581456,광운대학교,"[광운대학교] 현금/계좌이체 시 1,200원 이하 토핑 1개 무료 추가",2026-02-20,2026-12-31
블랙홀 볼링센터,기타,서울특별시 노원구 화랑로 325 우현빌딩 4층,37.614953,127.0640434,광운대학교,[광운대학교] 개인별 한 게임당 게임비 500원 할인,2026-02-20,2026-12-31
블랙홀 볼링장 석계점,기타,서울특별시 노원구 화랑로 325 우현빌딩 4층,37.614953,127.0640434,정책법학대학,[정책법학대학] 할인: 10%할인; 이용 조건: 현금 및 계좌이체 시,,
샐러리아,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,정책법학대학,[정책법학대학] 서비스 제공: 콤부차 또는 힐링티; 이용 조건: 샐러드 혹은 포케 주문시,,
수해복마라탕,식사류,서울특별시 노원구 광운로 39 2층,37.6210706,127.0589143,"정책법학대학, 광운대학교","[정책법학대학] 서비스 제공: 꼬치한개+탄산음료; 이용 조건: 현금결제+계좌이체, 3인 기준 28,000원 이상 주문; 비고: 인원 추가 시 인당 9,000원
[광운대학교] 3인 이상 28,000원 이상 주문 & 현금 또는 계좌이체시 캔 음료 1캔 서비스(인융대 1명 이상)",,
스트릿츄러스 광운대점,카페/디저트,서울특별시 노원구 광운로 21 동해문화예술관 1층,37.6202512,127.0573526,광운대학교,"[광운대학교] 공식 alliance 게시물 기준으로 점심시간대(12~16시) 대상 혜택 확인, 상세 일부 미상",2026-02-20,2026-12-31
썬더치킨 광운대점,식사류,서울특별시 노원구 광운로 44,37.621354,127.0594848,광운대학교,[광운대학교] ① 포장 주문 한 마리 시 양념소스 1개 서비스 ② 두 마리 이상 주문 시 500ml 콜라/사이다 관련 추가 혜택이나 수량 문구 일부 미상,2026-02-20,2026-12-31
아이캔빌리아드,기타,서울특별시 노원구 광운로 48 5층,37.62184,127.0597474,광운대학교,"[광운대학교] 60분 이상 이용&계좌이체 시, 전체 이용 요금 10% 할인",,
여우곱창,식사류,서울특별시 노원구 광운로 68,37.623283,127.060256,광운대학교,"[광운대학교] 카드 결제시 5%할인, 현금 또는 계좌이체시 10%할인(전체 인원 절반 이상 인융대)",2026-02-20,2026-12-31
연어시장 석계본점,식사류,서울특별시 노원구 석계로 13,37.6160465,127.0643556,전자정보공과대학,[전자정보공과대학] 서비스: 불라면 + 음료수 1개; 대상 조건: 전자정보공과대 학생 1명 이상,2026-03-18,2026-12-31
영축산 정육식당,식사류,서울특별시 노원구 광운로 52 1층,37.62184,127.0597474,정책법학대학,[정책법학대학] 서비스 제공: 2-3인 음료수/ 4인 이상시 계란찜 or 소주 1병 or 음료수 1캔; 이용 조건: 인원수,,
오진당 포차,주점,서울특별시 노원구 화랑로 337-19 1층,37.6157724,127.0650077,광운대학교,"[광운대학교] 월-목 벙문한정, 전체 금액 5%할인",,
와플대학 광운대점,카페/디저트,서울특별시 노원구 광운로 64 1층 중앙호,37.622092,127.0594336,"정책법학대학, 광운대학교","[정책법학대학] 할인: 1000원당 100원 할인; 이용 조건: 현금 및 계좌이체 시
[광운대학교] 와플대학주문시, 제휴해당 10종류 토핑 중 1개 서비스, 10000원 이상 주문시 아이스티 1잔 서비스",,
위퍼스트 스터디카페 광운대점,기타,서울특별시 노원구 석계로 103 2층,37.6237521,127.0610714,정책법학대학,[정책법학대학] 할인: 금액대별 할인; 이용 조건: 금액대별 할인,,
육회바른연어 석계역점,식사류,서울특별시 노원구 석계로3길 3 한주빌딩 1층,37.615559,127.0643771,정책법학대학,"[정책법학대학] 서비스 제공: 사이드 메뉴 제공(음료 1캔, 육회초밥 2p, 연어초밥 2p 중 선택); 이용 조건: 세트메뉴 구매 시
[정책법학대학] 할인: 1,000원 할인; 이용 조건: 20,000원 이상 구매시; 비고: *위 내용 모두 홀 이용 시에만 적용 
 *단, 세트 메뉴가 2만원 이상일 시 위 내용 둘 중 택1",,
이층집,식사류,서울특별시 노원구 광운로 17-5 2층,37.619338,127.057474,광운대학교,"[광운대학교] 중, 대 사이즈 메뉴 주문시 라면사리 1개 서비스",,
장수국수,식사류,서울특별시 노원구 광운로 27 2층,37.620188,127.058288,광운대학교,[광운대학교] 저녁시간대(16~22시) 방문 시 전 메뉴 대상 혜택으로 보이나 상세 문구 일부 미상,2026-02-20,2026-12-31
제로백 PC방,기타,서울특별시 노원구 석계로 102 지하1층,37.6237521,127.0610714,정책법학대학,"[정책법학대학] 서비스 제공: 1시간 서비스; 이용 조건: 10,000원 이상 결제시",,
중화호반닭갈비 광운대점,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,"정책법학대학, 광운대학교","[정책법학대학] 서비스 제공: 음료 혹은 사리 추가 택1; 이용 조건: 3인분 이상 주문계좌이체
[광운대학교] 3인분 이상 주문 & 계좌이체 결제 시 음료수 또는 사리 중 택 1",2026-02-20,2026-12-31
치킨클럽 성북역본점,식사류,서울특별시 노원구 석계로18길 10-9 1층,37.6237631,127.0607884,정책법학대학,"[정책법학대학] 서비스 제공: 라면 또는 감자튀김 제공; 이용 조건: 40,000원 이상 주문
[정책법학대학] 할인: 2%할인; 이용 조건: 현금 및 계좌이체 시",,
치킨플러스 월계점,식사류,서울특별시 노원구 석계로13길 35 세양청마루아파트 상가동 1층 101호,37.6208877,127.061717,"전자정보공과대학, 정책법학대학","[전자정보공과대학] 혜택 분류: 구간 할인+서비스; 서비스: 술 7+1; 김말이·치즈스틱·케이준감자·음료 사이즈업·1,000원 할인·떡볶이 중 택1; 대상 조건: 전자정보공과대 학생 1명 이상; 비고: 25,000~34,900원 1,000원; 35,000~44,900원 2,000원; 45,000~54,900원 3,000원; 55,000~64,900원 4,000원; 65,000원 이상 5,000원
[정책법학대학] 할인: 1,000~5000원 할인; 이용 조건: 구간별 할인 금액 차이
[정책법학대학] 서비스 제공: 술병기준 7+1; 이용 조건: 술병 7병 마셨을 때",2026-03-02,2026-12-31
카페 베르데,카페/디저트,서울특별시 노원구 광운로 17-3 1층,37.619338,127.057474,"정책법학대학, 광운대학교","[정책법학대학] 할인: 모든 메뉴 10%할인; 이용 조건: 크로플세트 제외
[광운대학교] 전 메뉴 10% 할인(개별주문한정)",2026-02-20,2026-12-31
카페 여백,카페/디저트,서울특별시 성북구 화랑로42길 52-8 1층,37.6138389,127.0645874,정책법학대학,"[정책법학대학] 할인: 10%할인(디저트,원두 제외); 이용 조건: 테이크아웃 또는 평일 매장 이용",,
큰집닭강정 광운대점,식사류,서울특별시 노원구 광운로 54 운봉빌딩,37.622092,127.0594336,광운대학교,"[광운대학교] ① 특대 size 닭강정 주문 시 떡추가/만두 5개 서비스 ② 총액 25,000원 이상 주문 시 사이드 메뉴 중 하나 무료",2026-02-20,2026-12-31
팔팔 부대찌개,식사류,서울특별시 노원구 광운로 25 지하1층,37.620188,127.058288,전자정보공과대학,[전자정보공과대학] 5% 할인; 서비스: 2인 이상 테이블당 음료 1캔; 3인 이상 인당 메밀만두 1개; 결제 조건: 계좌이체; 대상 조건: 전자정보공과대 학생 1명 이상,2026-02-14,2026-12-31
펍피맥 석계점,주점,서울특별시 성북구 한천로78길 43 1층,37.6125108,127.0643349,광운대학교,"[광운대학교] A~D 세트 메뉴 한정 2,000원 토핑 무료 제공으로 보이며, 후반부 문구 일부 미상",2026-02-20,2026-12-31
포차천국,주점,서울특별시 노원구 석계로1길 22 홍우빌딩 301호,37.615576,127.0621776,광운대학교,"[광운대학교] 카드 결제시 5%할인, 현금 또는 계좌이체시 10%할인(인융대 1명 이상)",,
푸른스시,식사류,서울특별시 노원구 광운로 33 1층 오른쪽호,37.620548,127.058599,정책법학대학,"[정책법학대학] 서비스 제공: 육회 초밥, 야부리 초밥 각 1pcs; 이용 조건: 네이버 영수증리뷰",,
BGN 밝은눈안과 잠실점,기타,서울특별시 송파구 올림픽로 300 롯데월드타워 11층,37.5137422,127.1042466,광운대학교,[광운대학교] 제휴 혜택이 있음을 안내하나 공개 스니펫 기준 상세 혜택 미상,2026-02-20,2026-12-31
BGN 밝은눈안과 부산점,기타,부산광역시 부산진구 가야대로 729,35.1540859,129.0331315,광운대학교,[광운대학교] 제휴 혜택이 있음을 안내하나 공개 스니펫 기준 상세 혜택 미상,2026-02-20,2026-12-31
