스냅샷구분,스냅샷생성시간,restaurant_id,partnership_id,가게명,카테고리,주소,위도,경도,제휴대상,혜택원문,AI혜택분석JSON,혜택기본점수,추가혜택점수,조건감점,최종혜택점수_B,혜택등급,평균별점,리뷰수,베이즈만족도_S,혜택AI전처리시간,만족도전처리시간,제휴시작일,제휴종료일,제휴상태
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,167,292,중화호반닭갈비 광운대점,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,인공지능융합대학,[인공지능융합대학] 3인분 이상 주문 & 계좌이체 결제 시 음료수 또는 사리 중 택 1,"{""benefitType"":""무료제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""음료수 또는 사리 중 택 1"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""3인분 이상 주문"",""계좌이체 결제""],""conditionCount"":2,""benefitScore"":35}",60.0,0.0,5.0,55.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,168,293,BGN 밝은눈안과 잠실점,기타,서울특별시 송파구 올림픽로 300 롯데월드타워 11층,37.5137422,127.1042466,인공지능융합대학,[인공지능융합대학] 제휴 혜택이 있음을 안내하나 공개 스니펫 기준 상세 혜택 미상,"{""benefitType"":null,""discountRate"":null,""discountAmount"":null,""freeItem"":null,""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[],""conditionCount"":0,""benefitScore"":0}",20.0,0.0,0.0,20.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,170,295,로스2000,식사류,서울특별시 노원구 광운로 41,37.6212073,127.0589966,인공지능융합대학,"[인공지능융합대학] 3만원 이상 주문 시, 음료 1 캔 or 된장찌개 서비스(첫 주문 한정)","{""benefitType"":""서비스"",""discountRate"":null,""discountAmount"":null,""freeItem"":""음료 1 캔 or 된장찌개"",""targetMenu"":null,""minimumOrder"":30000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""인공지능융합대학"",""3만원 이상 주문 시"",""첫 주문 한정""],""conditionCount"":3,""benefitScore"":40}",60.0,0.0,15.0,45.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,172,297,이층집,식사류,서울특별시 노원구 광운로 17-5 2층,37.619338,127.057474,인공지능융합대학,"[인공지능융합대학] 중, 대 사이즈 메뉴 주문시 라면사리 1개 서비스","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""라면사리 1개"",""targetMenu"":""중, 대 사이즈 메뉴"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":true,""conditions"":[""인공지능융합대학 소속"",""중, 대 사이즈 메뉴 주문시""],""conditionCount"":2,""benefitScore"":20}",60.0,5.0,0.0,65.0,은빛밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,173,298,와플대학,카페/디저트,서울특별시 노원구 광운로 64 1층 중앙호,37.622092,127.0594336,인공지능융합대학,"[인공지능융합대학] 와플대학주문시, 제휴해당 10종류 토핑 중 1개 서비스, 10000원 이상 주문시 아이스티 1잔 서비스","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""제휴해당 10종류 토핑 중 1개, 아이스티 1잔"",""targetMenu"":null,""minimumOrder"":10000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""와플대학 주문시"",""10000원 이상 주문시""],""conditionCount"":2,""benefitScore"":75}",40.0,0.0,10.0,30.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,174,299,수해복마라탕,식사류,서울특별시 노원구 광운로 39 2층,37.6210706,127.0589143,인공지능융합대학,"[인공지능융합대학] 3인 이상 28,000원 이상 주문 & 현금 또는 계좌이체시 캔 음료 1캔 서비스(인융대 1명 이상)","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""캔 음료 1캔"",""targetMenu"":null,""minimumOrder"":28000,""availableTime"":null,""requiredPeople"":3,""studentVerification"":true,""conditions"":[""3인 이상"",""28,000원 이상 주문"",""현금 또는 계좌이체시"",""인융대 1명 이상""],""conditionCount"":4,""benefitScore"":40}",60.0,0.0,20.0,40.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,178,303,경대컵밥,식사류,서울특별시 노원구 광운로 17-13 1층,37.6195987,127.0571465,정책법학대학,[정책법학대학] 서비스 제공: 800원 이하 토핑 무료 추가; 이용 조건: 5000원 이상 현금 결제 및계좌이체; 제휴기간 원문: 1년?,"{""benefitType"":""무료추가"",""discountRate"":null,""discountAmount"":null,""freeItem"":""800원 이하 토핑"",""targetMenu"":null,""minimumOrder"":5000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""5000원 이상 현금 결제 및계좌이체""],""conditionCount"":2,""benefitScore"":35}",40.0,10.0,15.0,35.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,151,304,고씨네 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 1층,37.6196349,127.0581456,정책법학대학,"[정책법학대학] 서비스 제공: 치즈스틱, 감자 고로케, 계란후라이 중 1개; 이용 조건: 1인 1메뉴 주문
[광운대학교] 메뉴 하나당 계란후라이, 감자고로케, 치즈스틱, 중 택 1(인융대 학생 1 명 이상)","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""치즈스틱, 감자 고로케, 계란후라이 중 택 1"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":true,""conditions"":[""1인 1메뉴 주문"",""인융대 학생 1명 이상""],""conditionCount"":2,""benefitScore"":50}",20.0,0.0,0.0,20.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,179,306,공차 광운대점,카페/디저트,서울특별시 노원구 광운로 20 광운대학교 80주년기념관,37.6193204,127.0583381,정책법학대학,[정책법학대학] 서비스 제공: 타피오카 펄 또는 사이즈업; 이용 조건: 음료 3잔 주문시,"{""benefitType"":""서비스 제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""타피오카 펄 또는 사이즈업"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""음료 3잔 주문시""],""conditionCount"":1,""benefitScore"":35}",60.0,0.0,0.0,60.0,은빛밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,154,310,디델리 서울 광운대점,식사류,서울특별시 노원구 광운로 31 1층,37.620548,127.058599,정책법학대학,"[정책법학대학] 서비스 제공: 음료수 1캔; 이용 조건: 13,000원 이상 주문시
[광운대학교] 13,000원 이상 주문 시 음료수 1개 서비스","{""benefitType"":""서비스"",""discountRate"":null,""discountAmount"":null,""freeItem"":""음료수 1캔"",""targetMenu"":null,""minimumOrder"":13000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""13,000원 이상 주문시""],""conditionCount"":1,""benefitScore"":30}",60.0,10.0,10.0,60.0,은빛밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,182,315,머슬톡 휘트니스,기타,서울특별시 노원구 광운로 52 2층,37.62184,127.0597474,전자정보공과대학,"[전자정보공과대학] 요금제; 서비스: 3개월 140,000원 OT 2회; 6개월 270,000원 OT 4회; 12개월 400,000원 OT 6회; 대상 조건: 전자정보공과대 학생
[정책법학대학] 할인: 10,000원 추가 할인","{""benefitType"":""discount"",""discountRate"":null,""discountAmount"":10000,""freeItem"":null,""targetMenu"":""요금제"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":true,""conditions"":[""전자정보공과대 학생""],""conditionCount"":1,""benefitScore"":70}",80.0,25.0,0.0,100.0,황금밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-14,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,182,316,머슬톡 휘트니스,기타,서울특별시 노원구 광운로 52 2층,37.62184,127.0597474,정책법학대학,"[전자정보공과대학] 요금제; 서비스: 3개월 140,000원 OT 2회; 6개월 270,000원 OT 4회; 12개월 400,000원 OT 6회; 대상 조건: 전자정보공과대 학생
[정책법학대학] 할인: 10,000원 추가 할인","{""benefitType"":""할인"",""discountRate"":null,""discountAmount"":10000,""freeItem"":null,""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":true,""conditions"":[""전자정보공과대 학생"",""정책법학대학""],""conditionCount"":2,""benefitScore"":75}",80.0,25.0,0.0,100.0,황금밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-14,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,184,327,보드게임 아카이브,기타,서울특별시 노원구 화랑로 335 지하1층,37.615081,127.0650163,정책법학대학,[정책법학대학] 할인: 평일:종일권 및 음료 8000원 종일권 주말 7000원; 이용 조건: 영수증 리뷰시,"{""benefitType"":""할인"",""discountRate"":null,""discountAmount"":null,""freeItem"":null,""targetMenu"":""평일 종일권 및 음료, 주말 종일권"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""영수증 리뷰시""],""conditionCount"":1,""benefitScore"":75}",60.0,5.0,0.0,65.0,은빛밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,187,331,샐러리아,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,정책법학대학,[정책법학대학] 서비스 제공: 콤부차 또는 힐링티; 이용 조건: 샐러드 혹은 포케 주문시,"{""benefitType"":""서비스 제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""콤부차 또는 힐링티"",""targetMenu"":""샐러드 혹은 포케"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""정책법학대학"",""샐러드 혹은 포케 주문시""],""conditionCount"":2,""benefitScore"":70}",20.0,0.0,0.0,20.0,한톨밥알,5.0,2,85.7202380952381,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,174,332,수해복마라탕,식사류,서울특별시 노원구 광운로 39 2층,37.6210706,127.0589143,정책법학대학,"[정책법학대학] 서비스 제공: 꼬치한개+탄산음료; 이용 조건: 현금결제+계좌이체, 3인 기준 28,000원 이상 주문; 비고: 인원 추가 시 인당 9,000원
[광운대학교] 3인 이상 28,000원 이상 주문 & 현금 또는 계좌이체시 캔 음료 1캔 서비스(인융대 1명 이상)","{""benefitType"":""서비스"",""discountRate"":null,""discountAmount"":null,""freeItem"":""꼬치 1개 + 탄산음료 (또는 캔 음료 1캔)"",""targetMenu"":null,""minimumOrder"":28000,""availableTime"":null,""requiredPeople"":3,""studentVerification"":true,""conditions"":[""현금결제 또는 계좌이체"",""3인 기준 28,000원 이상 주문"",""인원 추가 시 인당 9,000원"",""정책법학대학 학생 또는 인융대 학생 1명 이상 포함""],""conditionCount"":4,""benefitScore"":40}",60.0,0.0,20.0,40.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,188,338,연어시장 석계본점,식사류,서울특별시 노원구 석계로 13,37.6160465,127.0643556,전자정보공과대학,[전자정보공과대학] 서비스: 불라면 + 음료수 1개; 대상 조건: 전자정보공과대 학생 1명 이상,"{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""불라면 + 음료수 1개"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":1,""studentVerification"":false,""conditions"":[""전자정보공과대 학생 1명 이상""],""conditionCount"":1,""benefitScore"":80}",60.0,5.0,0.0,65.0,은빛밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-03-18,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,189,341,영축산 정육식당,식사류,서울특별시 노원구 광운로 52 1층,37.62184,127.0597474,정책법학대학,[정책법학대학] 서비스 제공: 2-3인 음료수/ 4인 이상시 계란찜 or 소주 1병 or 음료수 1캔; 이용 조건: 인원수,"{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""2-3인 음료수 / 4인 이상시 계란찜 or 소주 1병 or 음료수 1캔"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":2,""studentVerification"":false,""conditions"":[""인원수""],""conditionCount"":1,""benefitScore"":70}",60.0,5.0,10.0,55.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,197,349,위퍼스트 스터디카페 광운대점,기타,서울특별시 노원구 석계로 103 2층,37.6237521,127.0610714,정책법학대학,[정책법학대학] 할인: 금액대별 할인; 이용 조건: 금액대별 할인,"{""benefitType"":""할인"",""discountRate"":null,""discountAmount"":null,""freeItem"":null,""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""금액대별 할인""],""conditionCount"":1,""benefitScore"":40}",20.0,5.0,0.0,25.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,201,355,제로백 PC방,기타,서울특별시 노원구 석계로 102 지하1층,37.6237521,127.0610714,정책법학대학,"[정책법학대학] 서비스 제공: 1시간 서비스; 이용 조건: 10,000원 이상 결제시","{""benefitType"":""서비스 제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""1시간 서비스"",""targetMenu"":null,""minimumOrder"":10000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""10,000원 이상 결제시""],""conditionCount"":1,""benefitScore"":70}",20.0,5.0,10.0,15.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,167,356,중화호반닭갈비 광운대점,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,정책법학대학,"[정책법학대학] 서비스 제공: 음료 혹은 사리 추가 택1; 이용 조건: 3인분 이상 주문계좌이체
[광운대학교] 3인분 이상 주문 & 계좌이체 결제 시 음료수 또는 사리 중 택 1","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""음료수 또는 사리 중 택 1"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""3인분 이상 주문"",""계좌이체 결제""],""conditionCount"":2,""benefitScore"":30}",60.0,0.0,5.0,55.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,209,374,푸른스시,식사류,서울특별시 노원구 광운로 33 1층 오른쪽호,37.620548,127.058599,정책법학대학,"[정책법학대학] 서비스 제공: 육회 초밥, 야부리 초밥 각 1pcs; 이용 조건: 네이버 영수증리뷰","{""benefitType"":""서비스 제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""육회 초밥, 야부리 초밥 각 1pcs"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""네이버 영수증리뷰""],""conditionCount"":1,""benefitScore"":45}",20.0,5.0,0.0,25.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.179711,2026-07-30 09:27:54.197635,2026-01-01,2026-12-31,active
