id,name,category,address,latitude,longitude,phone,opening_hours,menu_summary,ai_summary,rating_average,review_count,bayesian_satisfaction_score,status,place_id,place_provider
164,블랙홀 볼링센터,기타,서울특별시 노원구 화랑로 325 우현빌딩 4층,37.614953,127.0640434,,,,서울 노원구 석계역 인근에 위치하여 24시간 연중무휴로 운영되는 12레인 규모의 락볼링장입니다.,4.25,4,77.7686832740213,active,,
165,펍피맥 석계점,주점,서울특별시 성북구 한천로78길 43 1층,37.6125108,127.0643349,,,,펍피맥 석계점은 큼직한 피자와 시원한 맥주를 함께 즐길 수 있는 피맥 전문 주점입니다.,4.29,7,79.3742097550764,active,,
166,민들레뜨락2,식사류,서울특별시 노원구 광운로 33 3층,37.620548,127.058599,,,,"광운대 인근에 위치한 요리주점으로, 다양하고 맛있는 안주와 술을 즐길 수 있는 곳입니다.",4,14,77.8650652431791,active,,
167,중화호반닭갈비 광운대점,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,,,,광운대 인근에서 맵기 조절이 가능한 춘천식 철판 닭갈비와 막국수를 제공하는 전문점입니다.,3.86,7,75.8330332844882,active,,
168,BGN 밝은눈안과 잠실점,기타,서울특별시 송파구 올림픽로 300 롯데월드타워 11층,37.5137422,127.1042466,,,,"롯데월드타워 11층에 위치한 안과의원으로 스마일라식, 라식, 라섹 등 시력교정술과 백내장, 노안 치료를 중점적으로 진료합니다.",3.88,8,76.0867536575722,active,,
170,로스2000,식사류,서울특별시 노원구 광운로 41,37.6212073,127.0589966,,,,,3.33,3,72.9662742950999,active,,
171,리잰헤어,기타,서울특별시 노원구 광운로 56 정암빌딩 1층,37.6223789,127.0597726,,,,"광운대 인근에 위치한 미용실로, 모발 손상을 최소화하는 전문적인 기술로 펌, 염색, 매직 등의 시술을 제공합니다.",4.09,11,78.5029317064904,active,,
172,이층집,식사류,서울특별시 노원구 광운로 17-5 2층,37.619338,127.057474,,,,"광운대 정문 앞 2층에 위치한 찌개 전문점으로, 의정부 부대찌개와 김치찌개를 대표 메뉴로 선보입니다.",3.67,6,74.3225978647687,active,,
173,와플대학,카페/디저트,서울특별시 노원구 광운로 64 1층 중앙호,37.622092,127.0594336,,,,바삭한 와플에 다양한 크림과 토핑을 조합해 즐길 수 있는 와플 전문 디저트 카페입니다.,3.33,6,71.7725978647687,active,,
174,수해복마라탕,식사류,서울특별시 노원구 광운로 39 2층,37.6210706,127.0589143,,,,사골 육수를 베이스로 한 깊은 국물 맛의 마라탕과 마라샹궈를 선보이는 전문점입니다.,3.25,4,72.0543975597356,active,,
175,아이캔빌리아드,기타,서울특별시 노원구 광운로 48 5층,37.62184,127.0597474,,,,광운대 정문 앞 농협 건물 5층에 위치하며 대대와 중대 당구대를 갖춘 당구장입니다.,3.6,5,73.9174377224199,active,,
176,오진당 포차,주점,서울특별시 노원구 화랑로 337-19 1층,37.6157724,127.0650077,,,,"석계역 인근에 위치한 캐주얼 중식 포차로, 등갈비 짬뽕탕과 수제 탕수육 등 다양한 중식 안주를 선보이는 요리주점입니다.",4,5,76.5841043890866,active,,
177,포차천국,주점,서울특별시 노원구 석계로1길 22 홍우빌딩 301호,37.615576,127.0621776,,,,"식사와 술을 함께 즐길 수 있는 주점으로, 치밥과 곱도리탕 등 든든한 안주를 선보입니다.",3.5,4,73.4829689883071,active,,
178,경대컵밥,식사류,서울특별시 노원구 광운로 17-13 1층,37.6195987,127.0571465,,,,"광운대 인근에서 제육, 치즈, 떡갈비 등 다양한 종류의 컵밥을 간편하게 즐길 수 있는 컵밥 전문점입니다.",3.5,6,73.0475978647687,active,,
179,공차 광운대점,카페/디저트,서울특별시 노원구 광운로 20 광운대학교 80주년기념관,37.6193204,127.0583381,,,,광운대학교 80주년기념관에 위치하여 쫀득한 타피오카 펄을 더한 밀크티와 다양한 버블티를 즐길 수 있는 카페입니다.,4.4,5,79.2507710557532,active,,
180,광운대 친절한 부동산,기타,서울특별시 노원구 광운로10길 3 1층,37.6209355,127.0593342,,,,"광운대 인근에 위치하여 원룸, 아파트 등 부동산 중개 서비스를 제공하는 공인중개사사무소입니다.",3,3,71.443197372023,active,,
181,꽃님맥주,주점,서울특별시 노원구 석계로 98-1 2층,37.6233177,127.0611202,,,,광운대역 인근에 위치하여 시원한 생맥주와 다양한 안주를 편안한 분위기에서 즐길 수 있는 요리 주점입니다.,3.12,8,69.3311981020166,active,,
182,머슬톡 휘트니스,기타,서울특별시 노원구 광운로 52 2층,37.62184,127.0597474,,,,"광운대역 인근에 위치한 헬스장으로, 다양한 웨이트 머신과 전문 트레이너의 PT 서비스를 제공합니다.",3.67,6,74.3225978647687,active,,
184,보드게임 아카이브,기타,서울특별시 노원구 화랑로 335 지하1층,37.615081,127.0650163,,,,석계역 인근에 위치하여 다양한 종류의 보드게임을 즐길 수 있는 보드게임 카페입니다.,3.5,4,73.4829689883071,active,,
186,블랙홀 볼링장 석계점,기타,서울특별시 노원구 화랑로 325 우현빌딩 4층,37.614953,127.0640434,,,,석계역 인근 우현빌딩 4층에 위치한 24시간 연중무휴 최신 시설의 락 볼링장입니다.,3.67,6,74.3225978647687,active,,
187,샐러리아,식사류,서울특별시 노원구 광운로 53 1층,37.6223853,127.059323,,,,"신선한 채소로 만든 샐러드와 든든한 포케, 샌드위치 등을 선보이는 샐러드 전문점입니다.",3.62,8,73.775642546461,active,,
188,연어시장 석계본점,식사류,서울특별시 노원구 석계로 13,37.6160465,127.0643556,,,,신선한 생연어와 참치를 무한리필로 마음껏 즐길 수 있는 일식 전문점입니다.,3.8,5,75.2507710557532,active,,
189,영축산 정육식당,식사류,서울특별시 노원구 광운로 52 1층,37.62184,127.0597474,,,,광운대 인근에서 한우와 삼겹살 등 다양한 고기를 가성비 있게 즐길 수 있는 넓은 규모의 정육식당입니다.,3.25,4,72.0543975597356,active,,
193,와플대학 광운대점,카페/디저트,서울특별시 노원구 광운로 64 1층 중앙호,37.622092,127.0594336,,,,"애플시나몬와플, 딸기누텔라와플 등 다양한 와플과 음료를 제공하는 디저트 카페입니다.",4,7,76.9859744609588,active,,
197,위퍼스트 스터디카페 광운대점,기타,서울특별시 노원구 석계로 103 2층,37.6237521,127.0610714,,,,집중하기 좋은 인테리어와 음료를 제공하는 광운대 인근의 스터디카페입니다.,3.5,8,72.7089758797944,active,,
199,육회바른연어 석계역점,식사류,서울특별시 노원구 석계로3길 3 한주빌딩 1층,37.615559,127.0643771,,,,"신선한 육회와 연어를 활용한 덮밥, 초밥, 육바연 세트 등 다양한 메뉴를 선보이는 전문점입니다.",4,5,76.5841043890866,active,,
201,제로백 PC방,기타,서울특별시 노원구 석계로 102 지하1층,37.6237521,127.0610714,,,,"서울 노원구 석계로에 위치한 PC방으로, 쾌적한 게임 환경과 다양한 먹거리를 제공합니다.",3.71,7,74.5977391668411,active,,
202,치킨클럽 성북역본점,식사류,서울특별시 노원구 석계로18길 10-9 1층,37.6237631,127.0607884,,,,"서울 노원구 월계동에 위치하여 치킨과 시원한 생맥주, 먹태 등을 함께 즐길 수 있는 호프집입니다.",4,4,76.3401118454499,active,,
203,치킨플러스 월계점,식사류,서울특별시 노원구 석계로13길 35 세양청마루아파트 상가동 1층 101호,37.6208877,127.061717,,,,"서울 노원구 월계동에 위치한 치킨 전문점으로, 바삭한 치킨과 호로록떡볶이 등 다양한 메뉴를 함께 즐길 수 있습니다.",3.33,3,72.9662742950999,active,,
204,카페 여백,카페/디저트,서울특별시 성북구 화랑로42길 52-8 1층,37.6138389,127.0645874,,,,"석계역 인근에 위치해 직접 구운 디저트와 크로플, 파스타 등의 브런치를 즐길 수 있는 아늑하고 조용한 카페입니다.",3.67,3,74.5355050643307,active,,
205,팔팔 부대찌개,식사류,서울특별시 노원구 광운로 25 지하1층,37.620188,127.058288,,,,한우 사골 육수로 끓여 구수하고 깊은 맛을 내는 부대찌개가 대표적인 식당입니다.,3.6,5,73.9174377224199,active,,
209,푸른스시,식사류,서울특별시 노원구 광운로 33 1층 오른쪽호,37.620548,127.058599,,,,매일 아침 직접 손질한 신선한 재료로 만든 초밥을 맛볼 수 있는 일식 전문점입니다.,4.14,7,78.1389156374293,active,,
